objectid,GlobalID,AdminState,Plot ID,Plot Key,ProjectName,Office,Crew Number,Date,DateFormat,Observer,Recorder,Person checking values,Person recording values,Comments,Plot Layout,PlotLayoutNotes,Plot Shape,Plot Area,Plot Radius,Plot Length,Plot Width,Are Plant Species Present?,Search Time,All Unknown Codes used,All Species in the form,CreationDate,Creator,EditDate,Editor,AllSpeciesCheck,x,y
12,10faacce-95b0-48a7-add5-75733deb9edf,ID,SD-294,ID_BFO_LUP_2022_SD-294_V1,ID_BFO_LUP_2022,IDB02,13,4/27/2024 18:00,2024-04-27,Richelle Yunger,Richelle Yunger,Richelle Yunger,Richelle Yunger,,Spoke,,circle,2827.43,30,,,Yes,17,"AG13002, SH13003, PG13005, SH13004, AF13007, AF13008, AF13009, AF13010","BRTE, SATR12, ELEL5, AGXXXX, SHXXXX, ERCI6, SIAL2, DEPI, PGXXXX, SHXXXX, AFXXXX, AFXXXX, AFXXXX, AFXXXX",04/30/2024 15:45:50.208,richelle.yunger,05/30/2024 19:21:33.964,nredecker2,"BRTE, SATR12, ELEL5, AGXXXX, SHXXXX, ERCI6, SIAL2, DEPI, PGXXXX, SHXXXX, AFXXXX, AFXXXX, AFXXXX, AFXXXX",-115.9787294,42.94213401
13,84aca15d-fdd9-4a9a-87cf-c925c65b4e92,ID,BSWD2023-018,ID_JFO_LUP_2023_BSWD2023-018_V2,ID_JFO_LUP_2023,IDT01,03,4/27/2024 18:00,2024-04-27,Brandon Brown,Brandon Brown,Brandon Brown,Brandon Brown,,Spoke,,circle,2827.43,30,,,Yes,21,PF03009,"AGCR, POSE, BRTE, PFXXXX, ARTRW8, PHLO2, SIAL2, HOUM, MIGR, CETE5, TRDU, CHTE2, CRAC2, CHVI8, ASPU9, DEPI",04/30/2024 17:08:22.263,brandon.brown3,05/30/2024 19:21:35.130,nredecker2,"AGCR, POSE, BRTE, PFXXXX, ARTRW8, PHLO2, SIAL2, HOUM, MIGR, CETE5, TRDU, CHTE2, CRAC2, CHVI8, ASPU9, DEPI",-115.1971452,42.78797628
14,820019a2-c091-4327-8bf8-7c5e62919e71,ID,BSSH2023-006,ID_JFO_LUP_2023_BSSH2023-006_V2,ID_JFO_LUP_2023,IDT01,03,4/28/2024 18:00,2024-04-28,Brandon Brown,Brandon Brown,Brandon Brown,Brandon Brown,,Spoke,,circle,2827.43,30,,,Yes,15,,"PHLO2, LOFO, POSE, BRTE, SIAL2, ONAC, DEPI, CETE5, MIGR, HOUM, CHTE2, SATR12, ELEL5",04/30/2024 17:08:23.928,brandon.brown3,05/30/2024 19:21:36.145,nredecker2,"PHLO2, LOFO, POSE, BRTE, SIAL2, ONAC, DEPI, CETE5, MIGR, HOUM, CHTE2, SATR12, ELEL5",-115.3664227,42.81543377
15,3d40920a-b7db-47ec-aafc-0d8352074c98,ID,BSWD2023-015,ID_JFO_LUP_2023_BSWD2023-015_V2,ID_JFO_LUP_2023,IDT01,03,4/29/2024 18:00,2024-04-29,Spencer Shaw,Brandon Brown,,,,Spoke,,circle,2827.43,30,,,Yes,25,"PF03013, PF03012","AGCR, PHLO2, ASPU9, POSE, ERPU2, SIAL2, BRTE, COPA3, ATCA2, ARTRW8, DEPI, PFXXXX, PFXXXX, TRDU, DENU2, DRVE2, CETE5, HOUM, MACA2",04/30/2024 17:08:26.129,brandon.brown3,05/30/2024 19:21:37.314,nredecker2,"AGCR, PHLO2, ASPU9, POSE, ERPU2, SIAL2, BRTE, COPA3, ATCA2, ARTRW8, DEPI, PFXXXX, PFXXXX, TRDU, DENU2, DRVE2, CETE5, HOUM, MACA2",-115.1953141,42.55167294
16,952d4e76-d239-4412-a704-77a63e9355c5,ID,NAT-NR-025,ID_BUFO_LUP_2021_NAT-NR-025_V1,ID_BUFO_LUP_2021,IDT02,03,4/24/2024 18:00,2024-04-24,Spencer Shaw,Sean Bishop,,,,Spoke,,circle,2827.43,30,,,Yes,15,,"ERNA10, HOUM, AGCR, ARTRW8, CETE5, POSE, SIAL2, TRDU, BRTE, ERCI6, DRVE2, MIGR",04/30/2024 17:30:07.358,spencercshaw12,05/30/2024 19:21:38.413,nredecker2,"ERNA10, HOUM, AGCR, ARTRW8, CETE5, POSE, SIAL2, TRDU, BRTE, ERCI6, DRVE2, MIGR",-114.5169443,42.40650709
17,39ce0071-2825-4fd3-9dfd-b2d1d5fd2f2c,ID,SEED-NR-010,ID_BUFO_LUP_2021_SEED-NR-010_V1,ID_BUFO_LUP_2021,IDT02,03,4/24/2024 18:00,2024-04-24,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,"PF03001, PF03002, SH03000","ERNA10, HOUM, AGCR, CETE5, POSE, SIAL2, BRTE, DRVE2, MIGR, ZIVE, PHLO2, DEPI, ASLE8, ASPU9, BAHO, TAOF, UNXXXX, UNXXXX, UNXXXX",04/30/2024 17:30:09.032,spencercshaw12,06/21/2024 19:14:43.107,wthiel@blm.gov_BLM_EGIS,"ERNA10, HOUM, AGCR, CETE5, POSE, SIAL2, BRTE, DRVE2, MIGR, ZIVE, PHLO2, DEPI, ASLE8, ASPU9, BAHO, TAOF, UNXXXX, UNXXXX, UNXXXX",-114.1887839,42.41732727
18,b9728695-7edc-42bf-9c54-0355d7cfc6fb,ID,SEED-113,ID_BUFO_LUP_2021_SEED-113_V1,ID_BUFO_LUP_2021,IDT02,03,4/25/2024 18:00,2024-04-25,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,,"ARTRW8, AGCR, POSE, CETE5, SIAL2, BRTE, DRVE2, ERNA10, HOUM, ZIVE",04/30/2024 17:30:10.922,spencercshaw12,05/30/2024 19:21:40.896,nredecker2,"ARTRW8, AGCR, POSE, CETE5, SIAL2, BRTE, DRVE2, ERNA10, HOUM, ZIVE",-114.7192084,42.47022553
19,b5ab531a-5d43-4d62-8f23-fa965a3630a8,ID,BSSH2023-NR-002,ID_JFO_LUP_2023_BSSH2023-NR-002_V1,ID_JFO_LUP_2023,IDT01,03,4/25/2024 18:00,2024-04-25,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,PF03003,"POSE, BRTE, TRDU, SIAL2, SATR12, UNXXXX",04/30/2024 17:30:12.789,spencercshaw12,06/21/2024 19:18:46.370,wthiel@blm.gov_BLM_EGIS,"POSE, BRTE, TRDU, SIAL2, SATR12, UNXXXX",-115.1048957,42.89352657
20,36a6b704-afef-400a-9aea-5a283783aca3,ID,BSSH2023-007,ID_JFO_LUP_2023_BSSH2023-007_V2,ID_JFO_LUP_2023,IDT01,03,4/26/2024 18:00,2024-04-26,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,,"SIAL2, BRTE, AGCR, HOUM, ONAC, CETE5, CHTE2, ERCI6, TRDU, VETH, DRVE2, MIGR, DENU2, POSE",04/30/2024 17:30:15.104,spencercshaw12,05/30/2024 19:21:43.346,nredecker2,"SIAL2, BRTE, AGCR, HOUM, ONAC, CETE5, CHTE2, ERCI6, TRDU, VETH, DRVE2, MIGR, DENU2, POSE",-115.1871745,42.8337427
21,33779bad-9db7-4562-9be8-8f2792a19c75,ID,BSSH2023-008,ID_JFO_LUP_2023_BSSH2023-008_V2,ID_JFO_LUP_2023,IDT01,03,4/26/2024 18:00,2024-04-26,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,"PF03004, PF03005, PF03006, PF03007, PF03008","HECO26, POSE, BRTE, SIAL2, ERNA10, ARTRV, GRSP, AGCR, ASPU9, DEPI, CETE5, ERCI6, MEAL6, LECI4, TRDU, CAAN7, PHHO, BASA3, TOFL5, UNXXXX, UNXXXX, UNXXXX, UNXXXX, UNXXXX",04/30/2024 17:30:16.841,spencercshaw12,06/21/2024 19:21:16.498,wthiel@blm.gov_BLM_EGIS,"HECO26, POSE, BRTE, SIAL2, ERNA10, ARTRV, GRSP, AGCR, ASPU9, DEPI, CETE5, ERCI6, MEAL6, LECI4, TRDU, CAAN7, PHHO, BASA3, TOFL5, PFXXXX, PFXXXX, PFXXXX, PFXXXX, PFXXXX",-115.2721391,42.86504177
22,07fc09d7-f1e8-47e2-add8-c928458fd12f,ID,BSWD2023-019,ID_JFO_LUP_2023_BSWD2023-019_V2,ID_JFO_LUP_2023,IDT01,03,4/28/2024 18:00,2024-04-28,Spencer Shaw,Spencer Shaw,,,,Spoke,,circle,2827.43,30,,,Yes,15,"PF03010, PF03011","POSE, AGCR, BRTE, CETE5, DRVE2, TRDU, SATR12, LEPE2, SIAL2, DEPI, HOUM, POBU, ERNA10, ASPU9, PHLO2, UNXXXX, UNXXXX",04/30/2024 17:30:18.638,spencercshaw12,06/21/2024 19:22:27.888,wthiel@blm.gov_BLM_EGIS,"POSE, AGCR, BRTE, CETE5, DRVE2, TRDU, SATR12, LEPE2, SIAL2, DEPI, HOUM, POBU, ERNA10, ASPU9, PHLO2, UNXXXX, UNXXXX",-115.4030515,42.6251797
23,972cf586-3fc2-409c-bdb2-cee3b6cdf890,ID,SD-010,ID_SHFO_LUP_2023_SD-010_V2,ID_SHFO_LUP_2023,IDT03,01,4/24/2024 18:00,2024-04-24,Noah Duncan Reid,Noah Duncan Reid,Grace Stavich,Noah Duncan Reid,,Spoke,,circle,2827.43,30,,,Yes,36,"PF01001, PF01002, AF01001, AF01002, SH01001","POSE, SATR12, ELEL5, BRTE, SIAL2, PFXXXX, PFXXXX, VIBE2, AGCR, CEST8, HOUM, AFXXXX, AFXXXX, PHLO2, CETE5, DRVE2, LOSI2, SHXXXX, LIGL2, GUSA2, LOFO, MIGR, POBU, SPMU2",04/30/2024 20:09:03.499,noahduncanreid7,05/30/2024 19:21:46.531,nredecker2,"POSE, SATR12, ELEL5, BRTE, SIAL2, PFXXXX, PFXXXX, VIBE2, AGCR, CEST8, HOUM, AFXXXX, AFXXXX, PHLO2, CETE5, DRVE2, LOSI2, SHXXXX, LIGL2, GUSA2, LOFO, MIGR, POBU, SPMU2",-114.4712866,42.91759787
24,b10a8b18-b08d-41f9-b510-d4ecdd2f75f1,ID,BSWD-015,ID_SHFO_LUP_2023_BSWD-015_V2,ID_SHFO_LUP_2023,IDT03,01,4/25/2024 18:00,2024-04-25,Noah Duncan Reid,Noah Duncan Reid,Noah Duncan Reid,Noah Duncan Reid,,Spoke,,circle,2827.43,30,,,Yes,30,"PF01005, AF01003, AF01004, PF01003, PF01004, AF01005, PF01007, PF01006","ARTRT, DRVE2, CETE5, POSE, CHVI8, AGCR, ASPU9, PFXXXX, AFXXXX, SPMU2, BRTE, AFXXXX, PFXXXX, LIPU11, VIBE2, PFXXXX, AFXXXX, PFXXXX, ZIVE, LOSI2, PFXXXX, ARTR4, LONU2, MIGR, PHLO2, SIAL2",04/30/2024 20:09:05.200,noahduncanreid7,05/30/2024 19:21:47.584,nredecker2,"ARTRT, DRVE2, CETE5, POSE, CHVI8, AGCR, ASPU9, PFXXXX, AFXXXX, SPMU2, BRTE, AFXXXX, PFXXXX, LIPU11, VIBE2, PFXXXX, AFXXXX, PFXXXX, ZIVE, LOSI2, PFXXXX, ARTR4, LONU2, MIGR, PHLO2, SIAL2",-114.4052426,43.04194703
25,8fb08ead-b6e0-4af9-9a6d-49c4dd8b95f2,ID,OT-008,ID_SHFO_LUP_2023_OT-008_V2,ID_SHFO_LUP_2023,IDT03,01,4/26/2024 18:00,2024-04-26,Noah Duncan Reid,Noah Duncan Reid,Noah Duncan Reid,Noah Duncan Reid,,Spoke,,circle,2827.43,30,,,Yes,18,PF01008,"PFXXXX, BRTE, ERCI6, SIAL2, HOUM, POSE, VIBE2, DRVE2, TAOF, LIPA5",04/30/2024 20:09:06.757,noahduncanreid7,05/30/2024 19:21:48.864,nredecker2,"PFXXXX, BRTE, ERCI6, SIAL2, HOUM, POSE, VIBE2, DRVE2, TAOF, LIPA5",-114.4130124,42.62551011
26,ae79a1fa-6baf-477b-b175-17af65b4b705,ID,BSWD-012,ID_SHFO_LUP_2023_BSWD-012_V2,ID_SHFO_LUP_2023,IDT03,01,4/26/2024 18:00,2024-04-26,Noah Duncan Reid,Noah Duncan Reid,Noah Duncan Reid,Noah Duncan Reid,,Spoke,,circle,2827.43,30,,,Yes,23,SH01002,"SIAL2, BRTE, AGCR, HEAN3, POSE, PHLO2, ERCI6, LITE4, VIBE2, HOUM, CHJU, GYNU, DRVE2, LEPE2, ARTRT, POBU, CETE5, SHXXXX, LOFO, ASLE8",04/30/2024 20:09:08.969,noahduncanreid7,05/30/2024 19:21:50.021,nredecker2,"SIAL2, BRTE, AGCR, HEAN3, POSE, PHLO2, ERCI6, LITE4, VIBE2, HOUM, CHJU, GYNU, DRVE2, LEPE2, ARTRT, POBU, CETE5, SHXXXX, LOFO, ASLE8",-114.8879204,42.96529057
27,df6eb4d3-a84c-44c3-a3d2-671b0d8f118c,ID,SD-017,ID_SHFO_LUP_2023_SD-017_V1,ID_SHFO_LUP_2023,IDT03,01,4/27/2024 18:00,2024-04-27,Grace Stavich,Grace Stavich,,,,Spoke,,circle,2827.43,30,,,Yes,19,,"AGCR, BRTE, SIAL2, LASE, ARTRT, PHLO2, ASCA12, CHJU, ERCI6, GUSA2, MACA2, POSE, LIRU4, TRDU, THIN6, ERNA10",04/30/2024 20:09:11.085,noahduncanreid7,05/30/2024 19:21:51.107,nredecker2,"AGCR, BRTE, SIAL2, LASE, ARTRT, PHLO2, ASCA12, CHJU, ERCI6, GUSA2, MACA2, POSE, LIRU4, TRDU, THIN6, ERNA10",-114.9039607,42.88584942
28,5a49e3db-1833-49df-bf4e-de75d6f75764,ID,SD-013,ID_SHFO_LUP_2023_SD-013_V2,ID_SHFO_LUP_2023,IDT03,01,4/28/2024 18:00,2024-04-28,Noah Duncan Reid,Noah Duncan Reid,Noah Duncan Reid,Noah Duncan Reid,,Spoke,,circle,2827.43,30,,,Yes,28,"PF01011, PF01010, PF01012, AG01002","CHVI8, LOFO, AGCR, ARTRT, PFXXXX, PFXXXX, SIAL2, BRTE, PHHA, ALDE, OPPO, TRDU, SPMU2, COLI2, LASE, PFXXXX, CHJU, GISI, LAGL5, PUTR2, POSE, BASA3, LOSI2, RUVE2, AGXXXX",04/30/2024 20:09:13.241,noahduncanreid7,05/30/2024 19:21:52.188,nredecker2,"CHVI8, LOFO, AGCR, ARTRT, PFXXXX, PFXXXX, SIAL2, BRTE, PHHA, ALDE, OPPO, TRDU, SPMU2, COLI2, LASE, PFXXXX, CHJU, GISI, LAGL5, PUTR2, POSE, BASA3, LOSI2, RUVE2, AGXXXX",-113.915412,42.89425585
29,9e85ce9e-9a91-4781-a023-89faf83bc442,ID,OT-NR-001,ID_SHFO_LUP_2023_OT-NR-001_V1,ID_SHFO_LUP_2023,IDT03,01,4/27/2024 18:00,2024-04-27,Grace Stavich,Grace Stavich,,,,Spoke,,circle,2827.43,30,,,Yes,22,"AG01001, AF01006, PF01009","AGCR, POSE, BRTE, DRVE2, ARTRT, SIAL2, HOUM, ERCI6, ERNA10, POBU, CHJU, AMME, AGXXXX, AFXXXX, VIBE2, LOFO, PFXXXX, LEPE2, HEAN3, ASLE8",04/30/2024 20:09:13.946,noahduncanreid7,05/30/2024 19:21:53.289,nredecker2,"AGCR, POSE, BRTE, DRVE2, ARTRT, SIAL2, HOUM, ERCI6, ERNA10, POBU, CHJU, AMME, AGXXXX, AFXXXX, VIBE2, LOFO, PFXXXX, LEPE2, HEAN3, ASLE8",-114.9466382,42.95565161
30,ba15f03d-8a5a-40a0-b8aa-9fd26ffe10f5,ID,SD-011,ID_SHFO_LUP_2023_SD-011_V2,ID_SHFO_LUP_2023,IDT03,01,4/29/2024 18:00,2024-04-29,Grace Stavich,Grace Stavich,Grace Stavich,Grace Stavich,,Spoke,,circle,2827.43,30,,,Yes,20,PF01013,"AGCR, MACA2, BRTE, POSE, CHDO, GYNU, CETE5, CHJU, ELEL5, LASE, ERCA2, ARTRW8, ACMI2, LIGL2, PSSP6, DRVE2, LOFO, TRDU, SIAL2, ERNA10, ALDE, PFXXXX, ERPU2, ARCA13, CHVI8",04/30/2024 20:09:15.785,noahduncanreid7,05/30/2024 23:18:39.265,nredecker2,"AGCR, MACA2, BRTE, POSE, CHDO, GYNU, CETE5, CHJU, ELEL5, LASE, ERCA2, ARTRW8, ACMI2, LIGL2, PSSP6, DRVE2, LOFO, TRDU, SIAL2, ERNA10, ALDE, PFXXXX, ERPU2, ARCA13, CHVI8",-114.1007896,42.98559377
31,1a9399a3-d009-4409-b7fd-ace5c007407e,ID,BigWD-NR-005,ID_BFO_LUP_2022_BigWD-NR-005_V1,ID_BFO_LUP_2022,IDB02,13,4/25/2024 18:00,2024-04-25,Celine Knudsen,Celine Knudsen,,,,Spoke,,circle,2827.43,30,,,Yes,15,"PG13001, PF13001, AF13003, AF13002, PF13002","POSE, DEPI, SIAL2, MIGR, PGXXXX, PHHO, PHLO2, PFXXXX, AFXXXX, BRTE, CETE5, AFXXXX, PFXXXX, DENU2, ARTRW8",04/30/2024 20:35:04.194,knudsen.celine,05/30/2024 19:21:55.382,nredecker2,"POSE, DEPI, SIAL2, MIGR, PGXXXX, PHHO, PHLO2, PFXXXX, AFXXXX, BRTE, CETE5, AFXXXX, PFXXXX, DENU2, ARTRW8",-115.7173875,42.58443208
